Sigla OACI;DescriÁ„o;Cidade;UF;PaÌs;Continente
EGNT;NEWCASTLE AIRPORT;;;REINO UNIDO;EUROPA
EGNX;EAST MIDLANDS AIRPORT;EAST  MIDLANDS;;REINO UNIDO;EUROPA
EGPF;GLASGOW INTERNATIONAL AIRPORT;;;REINO UNIDO;EUROPA
EGPK;GLASGOW PRESTWICK INTERNATIONAL AIRPORT;PRESTWICK;;REINO UNIDO;EUROPA
EGSH;NORWICH INTERNATIONAL AIRPORT;NORWICH;;REINO UNIDO;EUROPA
EGSS;LONDON STANSTED AIRPORT;LONDRES;;REINO UNIDO;EUROPA
EGTE;EXETER INTERNATIONAL AIRPORT;CLYST-HONITON;;REINO UNIDO;EUROPA
EHAM;AMSTERDAM AIRPORT SCHIPHOL;AMSTERDAM;;HOLANDA;EUROPA
EHBK;MAASTRICHT AACHEN AIRPORT;AMSTERDAM;;HOLANDA;EUROPA
EHWO;WOENSDRECHT AIR BASE;NETHERLANDS/BERGEN;;HOLANDA;EUROPA
EINN;SHANNON AIRPORT;SHANNON;;IRLANDA;EUROPA
EKCH;COPENHAGEN AIRPORT;KOPENHAGEN;;ILHAS FEROE;EUROPA
ELLX;LUXEMBOURG FINDEL AIRPORT;LUXEMBURGO;;LUXEMBURGO;EUROPA
ENGM;OSLO AIRPORT;OSLO;;NORUEGA;EUROPA
EPWA;WARSAW FREDERIC CHOPIN AIRPORT (OKECIE INTERNATIONAL AIRPORT);WARSAW OKECIE;;POLONIA;EUROPA
ESGG;G√ñTEBORG-LANDVETTER AIRPORT;GOTEBORG;;SUECIA;EUROPA
ESSA;STOCKHOLM-ARLANDA AIRPORT;STOCKHOLM/ARLANDA;;SUECIA;EUROPA
EVRA;Rƒ™GAINTERNATIONALAIRPORT;;;LET√îNIA;EUROPA
FACT;CAPE TOWN INTERNATIONAL AIRPORT;CAPE TOWN;;AFRICA DO SUL ;AFRICA
FAJS;OR TAMBO INTERNATIONAL AIRPORT;JOHANNESBURG;;AFRICA DO SUL ;AFRICA
FALA;LANSERIA AIRPORT;JOHANNESBURG;;AFRICA DO SUL ;AFRICA
FALE;KING SHAKA INTERNATIONAL AIRPORT;LA MERCY;;AFRICA DO SUL ;AFRICA
FAOR;OR TAMBO INTERNATIONAL AIRPORT;KEMPTON PARK;;AFRICA DO SUL ;AFRICA
FAUP;UPINGTON AIRPORT;UPINGTON;;AFRICA DO SUL ;AFRICA
FAWB;WONDERBOOM AIRPORT;WONDERBOOM;;AFRICA DO SUL ;AFRICA
FCBB;MAYA-MAYA AIRPORT;BRAZZAVILLE;;CONGO;AFRICA
FCPP;POINTE NOIRE AIRPORT;POINTE NOIRE AGOTINO NETO;;CONGO;AFRICA
FGSL;MALABO AIRPORT;MALABO;;GUINE EQUATORIAL;AFRICA
FKYS;YAOUNE NSIMALEN INTERNATIONAL AIRPORT;;;CAMAROES;AFRICA
FLLS;LUSAKA INTERNATIONAL AIRPORT;LUSAKA;;ZAMBIA;AFRICA
