Sigla OACI;DescriÁ„o;Cidade;UF;PaÌs;Continente
SEQU;QUITO;QUITO;;EQUADOR;AMERICA DO SUL
SGAS;SILVIO PETTIROSSI INTERNATIONAL AIRPORT;ASSUNCAO;;PARAGUAI;AMERICA DO SUL
SGES;GUARANI INTERNATIONAL AIRPORT;CIDADE DEL ESTE;;PARAGUAI;AMERICA DO SUL
SIBU;CATOL… DO ROCHA;CATOL… DO ROCHA;PB;BRASIL;AMERICA DO SUL
SIFV;ARACRUZ;ARACRUZ;ES;BRASIL;AMERICA DO SUL
SIGP;GAVIAO PEIXOTO;GAVI√O PEIXOTO;SP;BRASIL;AMERICA DO SUL
SIKC;COLIDER;COLÕDER;MT;BRASIL;AMERICA DO SUL
SILC;LUCAS DO RIO VERDE;LUCAS DO RIO VERDE;MT;BRASIL;AMERICA DO SUL
SILJ;LARANJAL DO JARI;LARANJAL DO JARI;AP;BRASIL;AMERICA DO SUL
SIMK;TENENTE LUND PRESETTO;FRANCA;SP;BRASIL;AMERICA DO SUL
SIQE;BOTELHO;BRASÕLIA;DF;BRASIL;AMERICA DO SUL
SIRI;BARRA GRANDE;Mara˙;BA;BRASIL;AMERICA DO SUL
SISO;FAZENDA SANTO AMBROSIO;CHAVES;PA;BRASIL;AMERICA DO SUL
SIXE;AEROCLUBE DE ELDORADO DO SUL;ELDORADO DO SUL;RS;BRASIL;AMERICA DO SUL
SIZX;JUARA SUL;JUARA;MT;BRASIL;AMERICA DO SUL
SJCW;JATAPU;URUCAR¡;AM;BRASIL;AMERICA DO SUL
SJDB;BONITO;BONITO;MS;BRASIL;AMERICA DO SUL
SJGU;AER”DROMO ARAGUATINS;ARAGUATINS;TO;BRASIL;AMERICA DO SUL
SJHG;CONFRESA  ;CONFRESA;MT;BRASIL;AMERICA DO SUL
SJKB;COTRIGUACU;COTRIGUA«U;MT;BRASIL;AMERICA DO SUL
SJLM;LE√O DE OURO;PACAIMA;RR;BRASIL;AMERICA DO SUL
SJLU;MISSAO CATRIMANI;CARACARAÕ;RR;BRASIL;AMERICA DO SUL
SJNP;NOVO PROGRESSO;NOVO PROGRESSO;PA;BRASIL;AMERICA DO SUL
SJQK;BARRA DO VENTO  ;BOA VISTA;RR;BRASIL;AMERICA DO SUL
SJQP;EST¬NCIA REBOG;COCALINHO;MT;BRASIL;AMERICA DO SUL
SJRG;RIO GRANDE;RIO GRANDE;RS;BRASIL;AMERICA DO SUL
SJTC;MOUSSA NAKHL TOBIAS;AREALVA;SP;BRASIL;AMERICA DO SUL
SJTS;TERRA SANTA;TERRA SANTA;PA;BRASIL;AMERICA DO SUL
SJUQ;FAZENDA VISTA ALEGRE;TR S LAGOAS;MS;BRASIL;AMERICA DO SUL
SJUR;TERRAVISTA;PORTO SEGURO;BA;BRASIL;AMERICA DO SUL
SJVO;ARAGAR«AS;ARAGAR«AS;GO;BRASIL;AMERICA DO SUL
SKBO;EL DORADO INTERNATIONAL AIRPORT;BOGOTA;;COLOMBIA;AMERICA DO SUL
SKBQ;ERNESTO CORTISSOZ INTERNATIONAL AIRPORT;BARRANQUILLA;;COLOMBIA;AMERICA DO SUL
SKCG;RAFAEL NUNEZ INTERNATIONAL AIRPORT;;;COLOMBIA;AMERICA DO SUL
SKCL;ALFONSO BONILLA ARAG√ìN INTERNATIONAL AIRPORT;CALI;;COLOMBIA;AMERICA DO SUL
SKLT;ALFREDO V√ÅSQUEZ COBO INTERNATIONAL AIRPORT;LETICIA;;COLOMBIA;AMERICA DO SUL
SKMD;OLAYA HERRERA AIRPORT;MEDELLIN/OLAYA HERRERA;;COLOMBIA;AMERICA DO SUL
SKPE;MATECA√ëA INTERNATIONAL AIRPORT;PEREIRA;;COLOMBIA;AMERICA DO SUL
SKRG;JOS√â MAR√çA C√ìRDOVA INTERNATIONAL AIRPORT;RIO NEGRO/JOSE MARIA CORDOV;;COLOMBIA;AMERICA DO SUL
SLCB;JORGE WILSTERMANN INTERNATIONAL AIRPORT;COCHABAMBA;;BOLIVIA;AMERICA DO SUL
SLCP;CONCEPCI√ìN AIRPORT;;;BOLIVIA;AMERICA DO SUL
SLLP;EL ALTO INTERNATIONAL AIRPORT;LA PAZ;;BOLIVIA;AMERICA DO SUL
SLPS;PUERTO SU√ÅREZ INTERNATIONAL AIRPORT;PUERTO SUAREZ;;BOLIVIA;AMERICA DO SUL
SLSA;SANTA ANA DEL YACUMA AIRPORT;;;BOLIVIA;AMERICA DO SUL
SLTR;TENIENTE JORGE HENRICH ARAUZ AIRPORT;;;BOLIVIA;AMERICA DO SUL
SLVR;VIRU VIRU INTERNATIONAL AIRPORT;VIRU VIRU;;BOLIVIA;AMERICA DO SUL
SMJP;JOHAN ADOLF PENGEL INTERNATIONAL AIRPORT (ZANDERIJ INT¬¥L);ZANDERY;;SURINAME;AMERICA DO SUL
SMPB;PARAMARIBO;PARAMARIBO;;SURINAME;AMERICA DO SUL
SNAB;ARARIPINA;ARARIPINA;PE;BRASIL;AMERICA DO SUL
SNAH;ADUSTINA;ADUSTINA;BA;BRASIL;AMERICA DO SUL
SNAP;JANA⁄BA;JANA⁄BA;MG;BRASIL;AMERICA DO SUL
SNAT;ARACATI;ARACATI;CE;BRASIL;AMERICA DO SUL
SNAV;AGROVALE;JUAZEIRO;BA;BRASIL;AMERICA DO SUL
SNBA;CHAFEI AMSEI;BARRETOS;SP;BRASIL;AMERICA DO SUL
SNBI;BACABAL;BACABAL;MA;BRASIL;AMERICA DO SUL
SNBR;BARREIRAS;BARREIRAS;BA;BRASIL;AMERICA DO SUL
SNBS;BALSAS;BALSAS;MA;BRASIL;AMERICA DO SUL
SNBU;BRUMADO;BRUMADO;BA;BRASIL;AMERICA DO SUL
SNBV;CAMPO DE BOI ;IPIXUNA DO PAR¡;PA;BRASIL;AMERICA DO SUL
SNBW;BAI√O;BAI√O;PA;BRASIL;AMERICA DO SUL
SNBX;BARRA;BARRA;BA;BRASIL;AMERICA DO SUL
SNCB;CAMPO DE BOI;IPIXUNA DO PAR¡;PA;BRASIL;AMERICA DO SUL
SNCI;CIBRASA;CAPANEMA;PA;BRASIL;AMERICA DO SUL
SNDB;RUR”POLIS;RUR”POLIS;PA;BRASIL;AMERICA DO SUL
SNDC;REDEN«√O;REDEN«√O;PA;BRASIL;AMERICA DO SUL
SNDH;ABA;BARREIRAS;BA;BRASIL;AMERICA DO SUL
SNDM;CHAPADA DIAMANTINA;LEN«”IS;BA;BRASIL;AMERICA DO SUL
SNDR;DOMINGOS REGO;TIMON;MA;BRASIL;AMERICA DO SUL
SNDT;DIAMANTINA;DIAMANTINA;MG;BRASIL;AMERICA DO SUL
SNDV;BRIGADEIRO CABRAL;DIVIN”POLIS;MG;BRASIL;AMERICA DO SUL
SNEB;PARAGOMINAS;PARAGOMINAS;PA;BRASIL;AMERICA DO SUL
SNFE;COMANDANTE PASCHOAL PATROCÕNIO FILHO;ALFENAS;MG;BRASIL;AMERICA DO SUL
SNFX;S√O F…LIX DO XINGU;S√O F…LIX DO XINGU;PA;BRASIL;AMERICA DO SUL
SNGI;GUANAMBI;GUANAMBI;BA;BRASIL;AMERICA DO SUL
SNGV;GOVERNADOR VALADARES;GOVERNADOR VALADARES;MG;BRASIL;AMERICA DO SUL
SNHS;SANTA MAGALH√ES;SERRA TALHADA;PE;BRASIL;AMERICA DO SUL
SNIC;IREC ;IREC ;BA;BRASIL;AMERICA DO SUL
SNIG;IGUATU;IGUATU;CE;BRASIL;AMERICA DO SUL
SNIU;IPIA⁄;IPIA⁄;BA;BRASIL;AMERICA DO SUL
SNJB;JACOBINA;JACOBINA;BA;BRASIL;AMERICA DO SUL
SNJD;JO√O DURVAL CARNEIRO;FEIRA DE SANTANA;BA;BRASIL;AMERICA DO SUL
SNJK;JEQUI…;JEQUI…;BA;BRASIL;AMERICA DO SUL
SNJR;S√O JO√O DEL REI;S√O JO√O DEL REI;MG;BRASIL;AMERICA DO SUL
SNKE;SANTANA DO ARAGUAIA;SANTANA DO ARAGUAIA;PA;BRASIL;AMERICA DO SUL
SNKI;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;ES;BRASIL;AMERICA DO SUL
SNKK;CAIC”;CAIC”;RN;BRASIL;AMERICA DO SUL
SNLA;AGROPECUARIA UMUARAMA ;PARAUAPEBAS;PA;BRASIL;AMERICA DO SUL
SNMA;MONTE ALEGRE;MONTE ALEGRE;PA;BRASIL;AMERICA DO SUL
SNMD;MUNDICO COELHO;ITAITUBA;PA;BRASIL;AMERICA DO SUL
SNMH;AEROPORTO DE PIREN”POLIS;PIREN”POLIS;GO;BRASIL;AMERICA DO SUL
SNMJ;MARAC¡S;MARAC¡S;BA;BRASIL;AMERICA DO SUL
SNMK;MOCAMBINHO;JAÕBA;MG;BRASIL;AMERICA DO SUL
SNML;MANDUCA LEAO;RIO LARGO;AL;BRASIL;AMERICA DO SUL
SNMU;MUCURI;MUCURI;BA;BRASIL;AMERICA DO SUL
SNMX;S√O MATEUS;S√O MATEUS;ES;BRASIL;AMERICA DO SUL
SNMZ;PORTO DE MOZ;PORTO DE MOZ;PA;BRASIL;AMERICA DO SUL
SNNC;RIO CAPIM;IPIXUNA DO PAR¡;PA;BRASIL;AMERICA DO SUL
SNNG;PROGRESSO;NOVO PROGRESSO;PA;BRASIL;AMERICA DO SUL
SNOB;VIRGÕLIO T¡VORA;SOBRAL;CE;BRASIL;AMERICA DO SUL
SNOX;ORIXIMIN¡;ORIXIMIN¡;PA;BRASIL;AMERICA DO SUL
SNPC;PICOS;PICOS;PI;BRASIL;AMERICA DO SUL
SNPD;PATOS DE MINAS;PATOS DE MINAS;MG;BRASIL;AMERICA DO SUL
SNPG;PORTO GRANDE;PORTO GRANDE;AP;BRASIL;AMERICA DO SUL
SNPJ;PATROCÕNIO;PATROCÕNIO;MG;BRASIL;AMERICA DO SUL
SNPP;MORRO DE S√O PAULO;MORRO DE S√O PAULO;BA;BRASIL;AMERICA DO SUL
SNPV;PORTO DE VILA DO CONDE;BARCARENA;PA;BRASIL;AMERICA DO SUL
SNPY;S√O SEBASTI√O DO PARAÕSO;S√O SEBASTI√O DO PARAÕSO;MG;BRASIL;AMERICA DO SUL
SNQD;SOUSA;SOUSA;PB;BRASIL;AMERICA DO SUL
SNQG;CANGAPARA;FLORIANO;PI;BRASIL;AMERICA DO SUL
SNQW;CURURU;JACAREACANGA;PA;BRASIL;AMERICA DO SUL
SNQY;CARIRI;JUAZEIRO DO NORTE;CE;BRASIL;AMERICA DO SUL
SNRB;ROSA BRANCA;ITAITUBA;PA;BRASIL;AMERICA DO SUL
SNRU;OSCAR LARANJEIRAS;CARUARU;PE;BRASIL;AMERICA DO SUL
SNSH;SAO JOSE  ;SANTAR…M;PA;BRASIL;AMERICA DO SUL
SNSM;SALIN”POLIS;SALIN”POLIS;PA;BRASIL;AMERICA DO SUL
SNSW;SOURE;SOURE;PA;BRASIL;AMERICA DO SUL
SNTF;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA;BRASIL;AMERICA DO SUL
SNTI;”BIDOS;”BIDOS;PA;BRASIL;AMERICA DO SUL
SNTO;JUSCELINO KUBITSCHECK;TE”FILO OTONI;MG;BRASIL;AMERICA DO SUL
SNTP;AGROPALMA ;TAIL¬NDIA;PA;BRASIL;AMERICA DO SUL
SNTS;PEREGRINO FILHO;PATOS;PB;BRASIL;AMERICA DO SUL
SNUB;UB¡;UB¡;MG;BRASIL;AMERICA DO SUL
SNUC;A«U;A«U;RN;BRASIL;AMERICA DO SUL
SNUI;ARA«UAÕ;ARA«UAÕ;MG;BRASIL;AMERICA DO SUL
SNUO;ULIAN”POLIS  ;ULIAN”POLIS  ;PA;BRASIL;AMERICA DO SUL
SNVB;VALEN«A;VALEN«A;BA;BRASIL;AMERICA DO SUL
SNVR;AEROCLUBE DA BAHIA;VERA CRUZ;BA;BRASIL;AMERICA DO SUL
SNVS;BREVES;BREVES;PA;BRASIL;AMERICA DO SUL
SNVV;VALENTE;VALENTE;BA;BRASIL;AMERICA DO SUL
SNWR;WILMA REBELO;SENADOR JOS… PORFÕRIO;PA;BRASIL;AMERICA DO SUL
SNXL;PRIMAVERA;QUER NCIA;MT;BRASIL;AMERICA DO SUL
SNXW;CHAVES;CHAVES;PA;BRASIL;AMERICA DO SUL
SNYA;ALMEIRIM;ALMEIRIM;PA;BRASIL;AMERICA DO SUL
SNYB;TITO TEIXEIRA;ITUIUTABA;MG;BRASIL;AMERICA DO SUL
SNYV;FAZENDA SOCOCO  ;MOJU;PA;BRASIL;AMERICA DO SUL
SNZA;POUSO ALEGRE;POUSO ALEGRE;MG;BRASIL;AMERICA DO SUL
SOCA;CAYENNE-ROCHAMBEAU AIRPORT;CAIENA;;GUIANA FRANCESA;AMERICA DO SUL
SPCL;CAPIT√ÅN ROLDEN AIRPORT (OR CAPIT√ÅN FAP DAVID ABENZUR RENGIFO AIRPORT);PUCALLPA;;PERU;AMERICA DO SUL
SPIM;JORGE CH√ÅVEZ INTERNATIONAL AIRPORT;LIMA;;PERU;AMERICA DO SUL
SPJC;JORGE CH√ÅVEZ INTERNATIONAL AIRPORT;LIMA;;PERU;AMERICA DO SUL
SPLP;LAS PALMAS AIR BASE (MILITARY);LAS PALMAS;;PERU;AMERICA DO SUL
SPQT;CORONEL FAP FRANCISCO SECADA VIGNETTA AIRPORT;IQUITOS;;PERU;AMERICA DO SUL
SPQU;RODR√çGUEZ BALL√ìN INTERNATIONAL AIRPORT;AREQUIPA/RODRIGUEZ BALLON;;PERU;AMERICA DO SUL
SPRU;CAPIT√ÅN FAP CARLOS MART√çNEZ DE PINILLOS AIRPORT;;;PERU;AMERICA DO SUL
SPSO;CAPIT√ÅN FAP REN√ÅN EL√çAS OLIVERA AIRPORT;PISCO;;PERU;AMERICA DO SUL
SPSP;SAN PABLO AIRPORT;;;PERU;AMERICA DO SUL
SPTN;CORONEL FAP CARLOS CIRIANI SANTA ROSA AIRPORT;TACNA;;PERU;AMERICA DO SUL
SPTU;PADRE JOSE DE ALDAMIZ INTERNATIONAL AIRPORT;;;PERU;AMERICA DO SUL
SPZO;SUBTENIENTE FAP ALEJANDRO VELASCO ASTETE INTERNATIONAL AIRPORT;CUZCO;;PERU;AMERICA DO SUL
SSAC;FAZENDA NOVA JERUSAL…M;SORRISO;MT;BRASIL;AMERICA DO SUL
SSBB;ESTRELA DALVA;BODOQUENA;MS;BRASIL;AMERICA DO SUL
SSBG;AEROCLUBE ;BENTO GON«ALVES;RS;BRASIL;AMERICA DO SUL
SSBN;BEL…M NOVO;PORTO ALEGRE;RS;BRASIL;AMERICA DO SUL
SSCC;CACADOR;CA«ADOR;SC;BRASIL;AMERICA DO SUL
SSCK;OLAVO CECCO RIGON;CONC”RDIA;SC;BRASIL;AMERICA DO SUL
SSCN;CANELA;CANELA;RS;BRASIL;AMERICA DO SUL
SSDO;MUNICIPAL FRANCISCO DE MATOS PEREIRA;DOURADOS;MS;BRASIL;AMERICA DO SUL
SSER;ERECHIM;ERECHIM;RS;BRASIL;AMERICA DO SUL
SSFB;AEROPORTO PAULO ABDALA;FRANCISCO BELTR√O;PR;BRASIL;AMERICA DO SUL
SSHZ;WALTER B‹NDCHEN;HORIZONTINA;RS;BRASIL;AMERICA DO SUL
SSIJ;IJUÕ;IJUÕ;RS;BRASIL;AMERICA DO SUL
SSJA;SANTA TEREZINHA;JOA«ABA;SC;BRASIL;AMERICA DO SUL
SSKM;GERALDO GUIAS DE AQUINO;CAMPO MOUR√O;PR;BRASIL;AMERICA DO SUL
SSKW;CACOAL;CACOAL;RO;BRASIL;AMERICA DO SUL
SSLS;SALTO SANTIAGO;LARANJEIRAS DO SUL;PR;BRASIL;AMERICA DO SUL
SSLT;GAUD NCIO MACHADO RAMOS;ALEGRETE;RS;BRASIL;AMERICA DO SUL
SSNC;FAZENDA CORRENT√O;APOR…;GO;BRASIL;AMERICA DO SUL
SSND;SANTA MARIA;S√O F…LIX DO ARAGUAIA;MT;BRASIL;AMERICA DO SUL
SSNH;NOVO HAMBURGO;NOVO HAMBURGO;RS;BRASIL;AMERICA DO SUL
SSNM;GUARANT√;GUARANT√ DO NORTE;MT;BRASIL;AMERICA DO SUL
SSOE;H…LIO WASUM;S√O MIGUEL DO OESTE;SC;BRASIL;AMERICA DO SUL
SSPB;JUVENAL LOUREIRO CARDOSO;PATO BRANCO;PR;BRASIL;AMERICA DO SUL
SSPG;SANTOS DUMONT;PARANAGU¡;PR;BRASIL;AMERICA DO SUL
SSPK;PORECATU;PORECATU;PR;BRASIL;AMERICA DO SUL
SSSC;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;RS;BRASIL;AMERICA DO SUL
SSTD;TOLEDO;TOLEDO;PR;BRASIL;AMERICA DO SUL
SSTL;AEROPORTO REGIONAL PLÕNIO ALARCON;TR S LAGOAS;MS;BRASIL;AMERICA DO SUL
SSUM;ORLANDO DE CARVALHO;UMUARAMA;PR;BRASIL;AMERICA DO SUL
SSUW;GUARAPUAVA;GUARAPUAVA;PR;BRASIL;AMERICA DO SUL
SSVI;¬NGELO PONZONI;VIDEIRA;SC;BRASIL;AMERICA DO SUL
SSZR;SANTA ROSA;SANTA ROSA;RS;BRASIL;AMERICA DO SUL
SULS;C/C CARLOS A. CURBELO DE LAGUNA DEL SAUCE INTERNATIONAL AIRPORT;MALDONADO-URUGUAI;;URUGUAI;AMERICA DO SUL
SUME;RICARDO DETOMASI AIRPORT;;;URUGUAI;AMERICA DO SUL
SUMU;CARRASCO GRAL. CES√ÅREO L. BERISSO INTERNATIONAL AIRPORT;MONTEVIDEU;;URUGUAI;AMERICA DO SUL
SUPE;EL JAG√úEL AIRPORT;PUNTA DEL ESTE;;URUGUAI;AMERICA DO SUL
SURV;PTE. GRAL. √ìSCAR D. GESTIDO INTERNATIONAL AIRPORT;INTL RIVERA;;URUGUAI;AMERICA DO SUL
SUSO;NUEVA HESP√âRIDES INTERNATIONAL AIRPORT;SALTO;;URUGUAI;AMERICA DO SUL
SVBC;GENERAL JOSE ANTONIO ANZO√ÅTEGUI INTERNATIONAL AIRPORT;BARCELONA;;VENEZUELA;AMERICA DO SUL
SVBI;BARINAS AIRPORT;;;VENEZUELA;AMERICA DO SUL
SVCP;GENERAL JOS√â FRANCISCO BERM√öDEZ AIRPORT;CARUPANO;;VENEZUELA;AMERICA DO SUL
SVJC;JOSEFA CAMEJO INTERNATIONAL AIRPORT;PARAGUANA;;VENEZUELA;AMERICA DO SUL
SVMC;LA CHINITA INTERNATIONAL AIRPORT;MARACAIBO/LA CHINITA INTL.;;VENEZUELA;AMERICA DO SUL
SVMG;DEL CARIBE INTERNATIONAL AIRPORT (GEN. SANTIAGO MARINO AIRPORT);MARGARITA;;VENEZUELA;AMERICA DO SUL
SVMI;SIMON BOLIVAR INTERNATIONAL AIRPORT (MAIQUETIA INTERNATIONAL AIRPORT);CARACAS/INTL;;VENEZUELA;AMERICA DO SUL
SVMT;MATUR√çN AIRPORT;MATURN,MONAGAS;;VENEZUELA;AMERICA DO SUL
SVPR;MANUEL CARLOS PIAR GUAYANA AIRPORT;GUAYANA;;VENEZUELA;AMERICA DO SUL
SVVA;ARTURO MICHELENA INTERNATIONAL AIRPORT;VALENCIA/INTL;;VENEZUELA;AMERICA DO SUL
SVVG;JUAN PABLO PEREZ ALFONSO AIRPORT;;;VENEZUELA;AMERICA DO SUL
SWAE;UAICAS;ALTO ALEGRE;RR;BRASIL;AMERICA DO SUL
SWBC;BARCELOS;BARCELOS;AM;BRASIL;AMERICA DO SUL
SWBI;BARREIRINHA;BARREIRINHA;AM;BRASIL;AMERICA DO SUL
SWBR;BORBA;BORBA;AM;BRASIL;AMERICA DO SUL
SWBU;FAZENDA FARTURA BAIXAO NOVO;PEIXOTO DE AZEVEDO;MT;BRASIL;AMERICA DO SUL
SWBV;AUARIS;AMAJARI;RR;BRASIL;AMERICA DO SUL
SWBZ;JPO SORRISO;SORRISO;MT;BRASIL;AMERICA DO SUL
SWCA;CARAUARI;CARAUARI;AM;BRASIL;AMERICA DO SUL
SWCB;CAMPOS BELOS;CAMPOS BELOS;GO;BRASIL;AMERICA DO SUL
SWCI;COLNIZA;ARIPUAN√;MT;BRASIL;AMERICA DO SUL
SWCP;CAMPO NOVO DOS PARECIS;CAMPO NOVO DO PARECIS;MT;BRASIL;AMERICA DO SUL
SWCQ;COSTA MARQUES;COSTA MARQUES;RO;BRASIL;AMERICA DO SUL
SWDB;AER”DROMO FAZENDA ELDORADO;BARRA DO GAR«AS;MT;BRASIL;AMERICA DO SUL
SWDE;FAZENDA PIRATININGA;S√O MIGUEL DO ARAGUAIA;GO;BRASIL;AMERICA DO SUL
SWDM;DIAMANTINO;DIAMANTINO;MT;BRASIL;AMERICA DO SUL
SWEE;ESTIR√O DO EQUADOR;ATALAIA DO NORTE;AM;BRASIL;AMERICA DO SUL
SWEI;EIRUNEP…;EIRUNEP…;AM;BRASIL;AMERICA DO SUL
SWEK;CANARANA;CANARANA;MT;BRASIL;AMERICA DO SUL
SWEU;CARACARAI ;CARACARAÕ;RR;BRASIL;AMERICA DO SUL
SWFJ;FEIJ”;FEIJ”;AC;BRASIL;AMERICA DO SUL
SWFN;FLORES;MANAUS;AM;BRASIL;AMERICA DO SUL
SWFX;S√O F…LIX DO ARAGUAIA;S√O F…LIX DO ARAGUAIA;MT;BRASIL;AMERICA DO SUL
SWGI;GURUPI;GURUPI;TO;BRASIL;AMERICA DO SUL
SWGN;ARAGUAÕNA;ARAGUAÕNA;TO;BRASIL;AMERICA DO SUL
SWGP;PALMEIRAS DE GOI¡S;PALMEIRAS DE GOI¡S;GO;BRASIL;AMERICA DO SUL
SWHG;AEROPORTO DE SANTA HELENA DO GOI¡S;SANTA HELENA DO GOI¡S;GO;BRASIL;AMERICA DO SUL
SWHP;FAZENDA OLHO DAGUA;¡GUA BOA;MT;BRASIL;AMERICA DO SUL
SWHT;FRANCISCO CORREA DA CRUZ;HUMAIT¡;AM;BRASIL;AMERICA DO SUL
SWII;IPIRANGA;SANTO ANT‘NIO DO I«¡;AM;BRASIL;AMERICA DO SUL
SWIQ;MINA«U;MINA«U;GO;BRASIL;AMERICA DO SUL
SWJH;JUARA;JUARA;MT;BRASIL;AMERICA DO SUL
SWJI;JI-PARAN¡;JI-PARAN¡;RO;BRASIL;AMERICA DO SUL
SWJN;JUÕNA;JUÕNA;MT;BRASIL;AMERICA DO SUL
SWJP;BITTENCOURT;JAPUR¡;AM;BRASIL;AMERICA DO SUL
SWJQ;FAZENDA COLIBRI;SELVÕRIA;MS;BRASIL;AMERICA DO SUL
SWJU;JURUENA;JURUENA;MT;BRASIL;AMERICA DO SUL
SWJW;JATAÕ;JATAÕ;GO;BRASIL;AMERICA DO SUL
SWKC;C¡CERES;C¡CERES;MT;BRASIL;AMERICA DO SUL
SWKK;CACOAL;CACOAL;RO;BRASIL;AMERICA DO SUL
SWKN;CALDAS NOVAS;CALDAS NOVAS;GO;BRASIL;AMERICA DO SUL
SWKO;COARI;COARI;AM;BRASIL;AMERICA DO SUL
SWLB;L¡BREA;L¡BREA;AM;BRASIL;AMERICA DO SUL
SWLC;GENERAL LEITE DE CASTRO;RIO VERDE;GO;BRASIL;AMERICA DO SUL
SWLV;ESTANCIA SANTO ANTONIO;SANTO ANT‘NIO DO LEVERGER;MT;BRASIL;AMERICA DO SUL
SWMP;MATUPA;GUARANT√ DO NORTE;MT;BRASIL;AMERICA DO SUL
SWMW;MAU…S;MAU…S;AM;BRASIL;AMERICA DO SUL
SWNA;NOVO ARIPUAN√;NOVO ARIPUAN√;AM;BRASIL;AMERICA DO SUL
SWNH;ARUAN√;ARUAN√;GO;BRASIL;AMERICA DO SUL
SWNK;NOVO CAMPO;BOCA DO ACRE;AM;BRASIL;AMERICA DO SUL
SWNO;NOVA OLINDA DO NORTE;NOVA OLINDA DO NORTE;AM;BRASIL;AMERICA DO SUL
SWNQ;NIQUEL¬NDIA;NIQUEL¬NDIA;GO;BRASIL;AMERICA DO SUL
SWNS;AN¡POLIS;AN¡POLIS;GO;BRASIL;AMERICA DO SUL
SWOB;FONTE BOA;FONTE BOA;AM;BRASIL;AMERICA DO SUL
SWOW;MOURA;BARCELOS;AM;BRASIL;AMERICA DO SUL
SWPC;PARI-CACHOEIRA;S√O GABRIEL DA CACHOEIRA;AM;BRASIL;AMERICA DO SUL
SWPD;POUSO DAAGUIA  ;BONFIM;RR;BRASIL;AMERICA DO SUL
SWPF;PITINGA;PRESIDENTE FIGUEIREDO;AM;BRASIL;AMERICA DO SUL
SWPI;J⁄LIO B…LEM;PARINTINS;AM;BRASIL;AMERICA DO SUL
SWPJ;PALMAS;PALMAS;TO;BRASIL;AMERICA DO SUL
SWPQ;PIRAGUASSU;PORTO ALEGRE DO NORTE;MT;BRASIL;AMERICA DO SUL
SWQR;EST¬NCIA MONTENEGRO;BOA VISTA;RR;BRASIL;AMERICA DO SUL
SWRD;RONDON”POLIS;RONDON”POLIS;MT;BRASIL;AMERICA DO SUL
SWRP;ARIPUANA  ;ARIPUAN√;MT;BRASIL;AMERICA DO SUL
SWSI;PRESIDENTE JO√O BATISTA FIGUEIREDO;SINOP;MT;BRASIL;AMERICA DO SUL
SWSQ;S√O JOAQUIM;S√O GABRIEL DA CACHOEIRA;AM;BRASIL;AMERICA DO SUL
SWTP;TAPURUQUARA;SANTA ISABEL DO RIO NEGRO;AM;BRASIL;AMERICA DO SUL
SWTS;TANGAR¡ DA SERRA;TANGAR¡ DA SERRA;MT;BRASIL;AMERICA DO SUL
SWTU;FAZENDA TUCUNARE;CAMPO NOVO DO PARECIS;MT;BRASIL;AMERICA DO SUL
SWUA;S√O MIGUEL DO ARAGUAIA;S√O MIGUEL DO ARAGUAIA;GO;BRASIL;AMERICA DO SUL
SWUQ;SURUCUCU OU SURUCURU;ALTO ALEGRE;RR;BRASIL;AMERICA DO SUL
SWUY;URUCU;COARI;AM;BRASIL;AMERICA DO SUL
SWVC;VILA RICA;VILA RICA;MT;BRASIL;AMERICA DO SUL
SWVR;ESTANCIA ROSALIA;SINOP;MT;BRASIL;AMERICA DO SUL
SWWA;PORANGATU; PORANGATU;GO;BRASIL;AMERICA DO SUL
SWWD;BARCELOS  ;BARCELOS;AM;BRASIL;AMERICA DO SUL
SWWU;URUA«U;URUA«U;GO;BRASIL;AMERICA DO SUL
SWXM;REGIONAL ORLANDO VILLAS BOAS;MATUP¡;MT;BRASIL;AMERICA DO SUL
SWXV;XAVANTINA;NOVA XAVANTINA;MT;BRASIL;AMERICA DO SUL
SWYK;FAZENDA ILHA CAMARGO;POCON…;MT;BRASIL;AMERICA DO SUL
SWYN;PRAINHA;APUÕ;AM;BRASIL;AMERICA DO SUL
SWYY;AEROPORTO FAZENDA NOVA VIENA;NOVA XAVANTINA;MT;BRASIL;AMERICA DO SUL
SWZM;USINA S√O SIM√O;USINA S√O SIM√O;GO;BRASIL;AMERICA DO SUL
SYCJ;CHEDDI JAGAN INTERNATIONAL AIRPORT;CHEDDI JAGAN INTL;;GUIANA;AMERICA DO SUL
TAPA;VC BIRD INTERNATIONAL AIRPORT;V.C. BIRD;;ANTIçGUA E BARBUDA;AMERICA CENTRAL
TBPB;GRANTLEY ADAMS INTERNATIONAL AIRPORT;BRIDGETOWN/GRANTLEY ADAMS;;BARBADOS;AMERICA CENTRAL
TFFF;FORT-DE-FRANCE - LE LAMENTIN AIRPORT;FORT-DE-FRANCE LAMENTIN;;MARTINICA;AMERICA DO NORTE
TFFR;POINTE-√Ä-PITRE - LE RAIZET AIRPORT;POINTE-A-PITRE LE RAIZET;;GUADALUPE;AMERICA DO NORTE
TJBQ;RAFAEL HERN√ÅNDEZ AIRPORT;AGUADILLA;;PORTO RICO;AMERICA CENTRAL
